purity	ploidy	sample
0.84	2	TCGA-KK-A6E2-01
0.18	2	TCGA-KK-A6E3-01
0.67	3.8	TCGA-KK-A6E4-01
0.6	1.9	TCGA-KK-A6E5-01
0.11	4.2	TCGA-KK-A6E6-01
0.54	3.8	TCGA-KK-A6E7-01
0.74	4.4	TCGA-KK-A6E8-01
0.88	2	TCGA-KK-A7AP-01
0.75	1.9	TCGA-KK-A7AQ-01
0.86	2	TCGA-KK-A7AU-01
0.16	2.1	TCGA-KK-A7AV-01
0.36	2.1	TCGA-KK-A7AW-01
0.75	2	TCGA-KK-A7AY-01
0.84	2	TCGA-KK-A7AZ-01
0.13	1.7	TCGA-KK-A7B0-01
0.52	1.9	TCGA-KK-A7B1-01
0.1	2	TCGA-KK-A7B2-01
0.5	3.9	TCGA-KK-A7B3-01
0.47	6.1	TCGA-KK-A7B4-01
0.36	2.4	TCGA-KK-A8I4-01
0.41	1.9	TCGA-KK-A8I5-01
0.67	1.9	TCGA-KK-A8I6-01
0.1	1.8	TCGA-KK-A8I7-01
0.72	2	TCGA-KK-A8I8-01
0.53	1.9	TCGA-KK-A8I9-01
0.87	1.9	TCGA-KK-A8IA-01
0.24	4.3	TCGA-KK-A8IB-01
0.13	6	TCGA-KK-A8IC-01
0.44	2.5	TCGA-KK-A8ID-01
0.91	4.3	TCGA-KK-A8IF-01
0.68	1.9	TCGA-KK-A8IG-01
0.75	1.9	TCGA-KK-A8IH-01
0.92	1.9	TCGA-KK-A8II-01
0.55	2	TCGA-KK-A8IJ-01
0.91	4.1	TCGA-KK-A8IK-01
0.34	1.9	TCGA-KK-A8IL-01
0.38	1.9	TCGA-KK-A8IM-01
0.12	1.8	TCGA-M7-A71Y-01
0.72	5.8	TCGA-M7-A71Z-01
0.43	1.9	TCGA-M7-A720-01
0.22	2.2	TCGA-M7-A721-01
0.85	2	TCGA-M7-A722-01
0.5	2.1	TCGA-M7-A723-01
0.95	2	TCGA-M7-A724-01
0.71	4.1	TCGA-M7-A725-01
0.77	1.9	TCGA-MG-AAMC-01
0.84	2	TCGA-QU-A6IL-01
0.52	2	TCGA-QU-A6IM-01
0.81	2	TCGA-QU-A6IN-01
0.48	1.9	TCGA-QU-A6IO-01
0.4	2	TCGA-QU-A6IP-01
0.1	1.6	TCGA-SU-A7E7-01
0.5	1.9	TCGA-TK-A8OK-01
0.55	1.9	TCGA-TP-A8TT-01
0.76	5.8	TCGA-TP-A8TV-01
0.61	2	TCGA-V1-A8MF-01
0.23	2	TCGA-V1-A8MG-01
0.1	1.8	TCGA-V1-A8MJ-01
0.42	1.9	TCGA-V1-A8MK-01
0.56	2	TCGA-V1-A8ML-01
0.79	2	TCGA-V1-A8MM-01
0.43	1.9	TCGA-V1-A8MU-01
0.68	1.9	TCGA-V1-A8WL-01
0.33	1.9	TCGA-V1-A8WN-01
0.32	5.7	TCGA-V1-A8WS-01
0.47	3.2	TCGA-V1-A8WV-01
0.82	2	TCGA-V1-A8WW-01
0.41	1.9	TCGA-V1-A8X3-01
0.53	2.2	TCGA-V1-A9O5-01
0.1	3.8	TCGA-V1-A9O7-01
0.52	1.9	TCGA-V1-A9O9-01
0.59	2	TCGA-V1-A9OA-01
0.55	5.9	TCGA-V1-A9OF-01
0.44	2	TCGA-V1-A9OH-01
0.57	3.9	TCGA-V1-A9OL-01
0.67	1.9	TCGA-V1-A9OQ-01
0.76	1.9	TCGA-V1-A9OT-01
0.25	1.9	TCGA-V1-A9OX-01
0.5	1.9	TCGA-V1-A9OY-01
0.58	2	TCGA-V1-A9Z7-01
0.32	2	TCGA-V1-A9Z8-01
0.65	1.9	TCGA-V1-A9Z9-01
0.32	1.9	TCGA-V1-A9ZG-01
0.78	2.2	TCGA-V1-A9ZI-01
0.33	1.9	TCGA-V1-A9ZK-01
0.51	1.9	TCGA-V1-A9ZR-01
0.38	1.9	TCGA-VN-A88I-01
0.81	2	TCGA-VN-A88K-01
0.47	3.9	TCGA-VN-A88L-01
0.33	1.9	TCGA-VN-A88M-01
0.58	2	TCGA-VN-A88N-01
0.31	1.9	TCGA-VN-A88O-01
0.62	3.9	TCGA-VN-A88P-01
0.63	2	TCGA-VN-A88Q-01
0.76	2	TCGA-VN-A88R-01
0.91	2	TCGA-VN-A943-01
0.61	1.9	TCGA-VP-A872-01
0.21	4.6	TCGA-VP-A875-01
0.73	5.7	TCGA-VP-A876-01
0.37	1.9	TCGA-VP-A878-01
0.4	1.9	TCGA-VP-A879-01
0.89	2	TCGA-VP-A87B-01
0.38	1.9	TCGA-VP-A87C-01
0.48	6	TCGA-VP-A87D-01
0.25	1.9	TCGA-VP-A87E-01
0.54	2.3	TCGA-VP-A87H-01
0.83	1.9	TCGA-VP-A87J-01
0.71	5.7	TCGA-VP-A87K-01
0.48	3.7	TCGA-VP-AA1N-01
0.91	1.9	TCGA-WW-A8ZI-01
0.56	1.9	TCGA-X4-A8KQ-01
0.37	2	TCGA-X4-A8KS-01
0.26	1.9	TCGA-XA-A8JR-01
0.81	1.9	TCGA-XJ-A83F-01
0.53	1.9	TCGA-XJ-A83G-01
0.46	2	TCGA-XJ-A83H-01
0.1	1.7	TCGA-XJ-A9DI-01
0.25	1.9	TCGA-XJ-A9DK-01
0.38	2	TCGA-XJ-A9DQ-01
0.68	2.3	TCGA-XJ-A9DX-01
0.33	1.8	TCGA-XK-AAIR-01
0.19	4.8	TCGA-XK-AAIV-01
0.82	1.9	TCGA-XK-AAIW-01
0.75	2	TCGA-XK-AAJ3-01
0.56	1.9	TCGA-XK-AAJA-01
0.8	1.9	TCGA-XK-AAJP-01
0.44	1.9	TCGA-XK-AAJR-01
0.66	1.9	TCGA-XK-AAJT-01
0.26	1.9	TCGA-XK-AAJU-01
0.77	1.9	TCGA-XK-AAK1-01
0.9	4.1	TCGA-XQ-A8TA-01
0.71	1.9	TCGA-XQ-A8TB-01
0.56	1.9	TCGA-Y6-A8TL-01
0.6	5.8	TCGA-Y6-A9XI-01
0.85	2.3	TCGA-YJ-A8SW-01
0.36	1.9	TCGA-YL-A8HJ-01
0.41	1.8	TCGA-YL-A8HK-01
0.83	1.9	TCGA-YL-A8HL-01
0.64	5.3	TCGA-YL-A8HM-01
0.18	5.8	TCGA-YL-A8HO-01
0.59	2.3	TCGA-YL-A8S8-01
0.95	2.1	TCGA-YL-A8S9-01
0.77	1.9	TCGA-YL-A8SA-01
0.45	1.9	TCGA-YL-A8SB-01
0.52	1.9	TCGA-YL-A8SC-01
0.68	2	TCGA-YL-A8SF-01
0.68	1.9	TCGA-YL-A8SH-01
0.34	2	TCGA-YL-A8SI-01
0.83	5.7	TCGA-YL-A8SJ-01
0.41	2	TCGA-YL-A8SK-01
0.77	3.6	TCGA-YL-A8SL-01
0.51	2	TCGA-YL-A8SO-01
0.87	1.9	TCGA-YL-A8SP-01
0.63	3.5	TCGA-YL-A8SQ-01
0.66	1.9	TCGA-YL-A8SR-01
0.58	3.3	TCGA-YL-A9WH-01
0.89	2.2	TCGA-YL-A9WI-01
0.41	1.7	TCGA-YL-A9WJ-01
0.46	5.9	TCGA-YL-A9WK-01
0.87	3.8	TCGA-YL-A9WL-01
0.1	1.6	TCGA-YL-A9WX-01
0.2	5.3	TCGA-YL-A9WY-01
0.32	1.9	TCGA-ZG-A8QW-01
0.14	2.5	TCGA-ZG-A8QX-01
0.55	1.9	TCGA-ZG-A8QY-01
0.39	2	TCGA-ZG-A8QZ-01
0.16	4.1	TCGA-ZG-A9KY-01
0.47	5	TCGA-ZG-A9L0-01
0.72	2.3	TCGA-ZG-A9L1-01
0.2	1.9	TCGA-ZG-A9L2-01
0.29	1.9	TCGA-ZG-A9L4-01
0.8	4.1	TCGA-ZG-A9L5-01
0.18	1.8	TCGA-ZG-A9L6-01
0.57	3.8	TCGA-ZG-A9L9-01
0.45	5.5	TCGA-ZG-A9LB-01
0.5	3.6	TCGA-ZG-A9LM-01
0.16	1.7	TCGA-ZG-A9LN-01
0.4	2.1	TCGA-ZG-A9LS-01
0.1	3.1	TCGA-ZG-A9LU-01
0.29	2.1	TCGA-ZG-A9LY-01
0.54	5.8	TCGA-ZG-A9LZ-01
0.39	5.3	TCGA-ZG-A9M4-01
0.15	1.8	TCGA-ZG-A9MC-01
0.4	5	TCGA-ZG-A9N3-01
0.78	1.9	TCGA-ZG-A9ND-01
0.6	2.2	TCGA-ZG-A9NI-01
0.97	1.9	WCMC0-SRR3146750
0.97	3.2	WCMC0-SRR3146784
0.92	1.9	WCMC0-SRR3146886
0.82	1.8	WCMC0-SRR3146906
0.1	2	WCMC1-SRR3146926
0.63	1.9	WCMC10-SRR3146888
0.85	2.2	WCMC10361-SRR3146801
0.24	5	WCMC10362-SRR3146940
0.77	3.8	WCMC10363-SRR3146919
0.85	4.4	WCMC10364-SRR3146932
0.31	3.9	WCMC10680-SRR3146721
0.1	1.9	WCMC11040-SRR3146815
0.85	4	WCMC12688-SRR3146788
0.44	2.3	WCMC12728-SRR3146836
0.43	4	WCMC14-SRR3146844
0.89	3.8	WCMC15-SRR3146810
0.22	2.2	WCMC160-SRR3146971
0.5	5.4	WCMC18248-SRR3146883
0.84	1.9	WCMC20870-SRR3146776
0.98	2.1	WCMC21010-SRR3146929
0.96	2	WCMC21014-SRR3146936
0.6	2	WCMC21016-SRR3146962
0.91	2.1	WCMC21017-SRR3146755
0.83	4	WCMC24290-SRR3146937
0.71	1.9	WCMC24854-SRR3146789
0.81	2	WCMC26731-SRR3146951
0.58	4.6	WCMC4240-SRR3146850
0.8	1.7	WCMC7-SRR3146725
0.72	3.3	WCMC7520-SRR3146855
0.29	4	WCMC7520-SRR3146865
0.71	3.8	WCMC7520-SRR3146871
0.76	2.1	WCMC7951-SRR3146812
1	1.8	WCMC9-SRR3146731
