purity	ploidy	sample
0.33	3.6	35-SRR4043810
0.89	4	35-SRR5876748
0.1	1.9	36-SRR4044001
0.57	4.4	36-SRR5876749
0.34	2	37-SRR4043990
0.58	3.5	37-SRR5876750
0.34	2.6	38-SRR4043964
0.56	3.5	38-SRR5876751
0.76	2	39-SRR4043962
0.5	6.6	39-SRR5876752
0.48	4.4	4-SRR4043948
0.47	2	4-SRR5876753
0.31	2	40-SRR4043957
0.54	3.6	40-SRR5876754
0.13	2.2	41-SRR4043820
0.88	1.6	41-SRR5876755
0.1	2.2	42-SRR4044002
0.55	1.9	42-SRR5876756
0.7	2	43-SRR4043837
0.89	3.8	43-SRR5876757
0.7	2	44-SRR4043981
0.71	5.2	44-SRR5876758
0.78	5	44-SRR5876759
0.57	4.7	44-SRR5876760
0.5	1.9	45-SRR4043909
0.84	2.6	45-SRR5876761
0.72	2.1	46-SRR4043793
0.6	4.1	46-SRR5876762
0.34	3.6	47-SRR4044004
0.69	4	47-SRR5876763
0.74	3.1	48-SRR5876765
0.94	2.3	49-SRR4043907
0.45	5.3	49-SRR5876766
0.31	1.8	5-SRR4043876
0.68	2	5-SRR5876764
0.95	1.9	50-SRR4044012
0.67	6.3	50-SRR5876767
0.38	1.9	51-SRR4043795
0.55	2	51-SRR5876768
0.69	3.5	5115023-SRR3018013
0.37	1.9	5115024-SRR8311838
0.88	1.9	5115025-SRR8311840
0.7	2	5115026-SRR8311846
0.33	2	5115027-SRR8311849
0.31	2.1	5115028-SRR8311852
0.45	1.7	5115029-SRR8311857
0.78	3.9	5115030-SRR8311864
0.75	3.5	5115031-SRR8311868
0.29	3.8	5115032-SRR8311872
0.52	4.1	5115033-SRR8311876
0.46	2.1	5115034-SRR8311896
0.91	1.6	5115056-SRR8311885
0.63	3.7	5115057-SRR8311891
0.92	4.1	5115058-SRR8311907
0.83	3.7	5115073-SRR8311904
0.77	2.1	5115075-SRR8311909
0.38	2.1	5115076-SRR8311911
0.29	1.9	5115077-SRR8311916
0.58	2	5115078-SRR8311926
0.54	4	5115098-SRR8311874
0.27	4.2	5115127-SRR8311930
0.54	3.7	5115128-SRR8311958
0.27	3.4	5115129-SRR8311946
0.56	2.1	5115130-SRR8311953
0.7	2.5	5115152-SRR8311933
0.81	5.1	5115158-SRR8311962
0.84	2.8	5115160-SRR8311978
0.77	4.1	5115186-SRR8311944
0.85	1.9	5115187-SRR8311991
0.96	2	5115192-SRR8311924
0.62	4.7	5115193-SRR8311999
0.72	3.8	5115194-SRR8311970
0.58	3.4	5115195-SRR8311974
0.91	3.8	5115196-SRR8311984
0.49	3.4	5115197-SRR8311986
0.18	6.2	5115198-SRR8311993
0.53	2	5115199-SRR8311935
0.18	2.5	5115203-SRR8311968
0.34	4.4	5115254-SRR8312004
0.86	1.9	5115255-SRR8312028
0.77	3.6	5115256-SRR8312012
0.92	2	5115258-SRR8311905
0.81	4	5115259-SRR8311931
0.59	3.5	5115260-SRR8312022
0.8	4.1	5115261-SRR8312001
0.17	1.9	5115276-SRR8312040
0.81	3.3	5115290-SRR8312030
0.7	3.3	5115291-SRR8312042
0.7	3	5115327-SRR8312045
0.46	3.5	5115359-SRR8312049
0.42	3.7	5115405-SRR8312075
0.78	2.3	5115406-SRR8312068
0.19	5.3	5115407-SRR8312070
0.83	4	5115408-SRR8312096
0.85	2.1	5115409-SRR8311598
0.83	4.1	5115410-SRR8311600
0.93	4.3	5115411-SRR8311619
0.61	4.7	5115412-SRR8311627
0.73	4	5115501-SRR8311580
0.51	4.5	5115505-SRR8311644
0.83	3.9	5115506-SRR8311667
0.84	3.9	5115528-SRR8311652
0.71	2.3	5115547-SRR8311623
0.51	4.4	5115548-SRR8311692
0.69	3.4	5115608-SRR8311694
0.49	3.6	5115609-SRR8311697
0.83	5.1	5115610-SRR8311714
0.32	4	5115611-SRR8311716
0.43	4.3	5115612-SRR8311718
0.85	3.9	5115613-SRR8311720
0.94	4	5115614-SRR8311745
0.92	2.7	5115615-SRR8311749
0.65	3.1	5115648-SRR8311751
0.87	2	5115650-SRR8311791
0.89	3.4	5115651-SRR8311795
0.29	3.8	52-SRR4043939
0.95	3.8	52-SRR5876769
0.37	4.3	53-SRR4044006
0.69	3.5	53-SRR5876770
0.3	2.1	54-SRR4043960
0.93	4.2	54-SRR5876771
0.33	2.1	55-SRR4043933
0.85	3.7	55-SRR5876772
0.1	2.1	56-SRR4043868
0.82	3.2	56-SRR5876773
0.71	4.3	57-SRR4043833
0.33	4	57-SRR5876774
0.7	2.4	58-SRR4043892
0.73	3	58-SRR5876776
0.68	3.5	59-SRR4043832
0.62	3.5	59-SRR5876777
0.22	1.9	6-SRR4043956
0.47	1.9	6-SRR5876775
0.49	4.4	60-SRR4043953
0.76	3.6	61-SRR4043934
0.73	3.3	6115012-SRR3018193
0.41	3.4	6115013-SRR3018198
0.67	3.3	6115014-SRR3018200
0.31	2.3	6115116-SRR8307101
0.96	2	6115119-SRR8307103
0.6	4.3	6115120-SRR8307109
0.36	2	6115124-SRR8307108
0.63	2.1	6115236-SRR8307106
0.93	1.5	6115250-SRR8307110
0.11	1.9	6115285-SRR8307112
0.17	4	6115286-SRR8307113
0.92	3.7	6115288-SRR8307119
0.88	4.4	6115295-SRR8307105
0.5	6	6115317-SRR8307505
0.59	3.3	6115319-SRR8307501
0.82	3.8	6115320-SRR8307502
0.82	1.9	6115321-SRR8316704
0.79	2.6	6115322-SRR8316710
0.21	5.6	6115323-SRR8316709
0.96	3	6115381-SRR8316705
0.48	4.3	6115383-SRR8316753
0.78	4	6115385-SRR8316754
0.8	3.9	6115386-SRR8316758
0.19	4.9	6115387-SRR8316755
0.94	4.3	6115388-SRR8316756
0.76	4.1	6115389-SRR8316757
0.88	2	6115390-SRR8316918
0.52	3.4	6115391-SRR8316923
0.87	5.4	6115392-SRR8316915
0.81	1.9	6115393-SRR8316920
0.43	6.2	6115394-SRR8316919
0.47	3.4	6115395-SRR8316910
0.81	2.3	6115396-SRR8316924
0.48	4.5	6115397-SRR8316922
0.68	4.3	6115398-SRR8316925
0.3	5.8	6115399-SRR8316921
0.2	4.9	6115400-SRR8307126
0.96	1.9	6115401-SRR8307136
0.87	2.1	6115402-SRR8307128
0.46	5.6	6115403-SRR8307258
0.79	2.8	62-SRR4043822
0.41	2.1	63-SRR4043826
0.35	4	64-SRR4043931
0.1	1.9	65-SRR4043910
0.83	2.1	66-SRR4043848
0.39	5.9	67-SRR4043989
0.45	2.4	68-SRR4043825
0.22	5.6	69-SRR4043866
0.12	5	7-SRR4043840
0.31	1.9	7-SRR5876786
0.78	2	71-SRR4044024
0.59	2.2	72-SRR4043800
0.29	2.1	73-SRR4043902
0.33	1.9	74-SRR4043949
0.86	2.4	75-SRR4043799
0.47	4.1	76-SRR4043852
0.26	3.5	77-SRR4043941
0.79	3.7	78-SRR4043993
0.78	3.6	79-SRR4043977
0.8	2	8-SRR4044014
0.34	1.7	8-SRR5876797
0.51	2.2	80-SRR4043845
0.62	4.2	81-SRR4043890
0.48	4.3	83-SRR4043830
0.42	4.3	84-SRR4043988
0.49	3.8	86-SRR4044009
0.29	4.6	87-SRR4043918
0.24	3.8	88-SRR4043791
0.21	3.9	9-SRR4043806
0.34	1.8	9-SRR5876808
0.1	1.9	STID0000000099-SRR477230
0.91	1.8	STID0000000415-SRR477466
0.16	5.6	STID0000000427-SRR477348
0.35	5.2	STID0000001024-SRR477288
0.42	1.9	STID0000001043-SRR477408
0.36	1.9	STID0000002661-SRR477829
0.75	2	STID0000002682-SRR478005
0.44	2	STID0000002740-SRR477889
0.4	2	STID0000002761-SRR478063
0.46	2	STID0000002762-SRR477947
0.1	1.5	STID0000002858-SRR477592
0.37	2	STID0000002872-SRR477710
0.29	5.8	STID0000002915-SRR477768
0.1	2.1	STID0000002916-SRR477650
0.3	1.9	STID0000003023-SRR477114
0.31	2	STID0000003026-SRR477172
0.28	2	STID0000003034-SRR478241
0.4	1.9	STID0000003035-SRR478299
0.1	1.9	STID0000003036-SRR478357
0.1	2	STID0000003048-SRR478121
0.54	1.9	STID0000003051-SRR478181
0.59	1.9	STID0000003127-SRR486768
0.45	1.9	TCGA-2A-A8VL-01
0.53	1.9	TCGA-2A-A8VO-01
0.43	5.4	TCGA-2A-A8VT-01
0.1	1.8	TCGA-2A-A8VV-01
0.9	2	TCGA-2A-A8VX-01
0.93	1.9	TCGA-2A-A8W1-01
0.42	1.9	TCGA-2A-A8W3-01
0.83	1.9	TCGA-2A-AAYF-01
0.72	1.9	TCGA-2A-AAYO-01
0.79	1.9	TCGA-2A-AAYU-01
0.2	2.8	TCGA-4L-AA1F-01
0.73	2	TCGA-CH-5737-01
0.36	2	TCGA-CH-5738-01
0.68	2	TCGA-CH-5739-01
0.64	2	TCGA-CH-5740-01
0.8	2	TCGA-CH-5741-01
0.34	2	TCGA-CH-5743-01
0.55	1.9	TCGA-CH-5744-01
0.57	1.9	TCGA-CH-5745-01
0.39	1.9	TCGA-CH-5746-01
0.69	2	TCGA-CH-5748-01
0.36	2	TCGA-CH-5750-01
0.27	5.1	TCGA-CH-5751-01
