C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-EJ-5509-01A-01D-1576-08.10 C529.TCGA-EJ-5509-10A-01D-1577-08.8
C529.TCGA-EJ-5510-01A-01D-1576-08.8 C529.TCGA-EJ-5510-10A-01D-1577-08.9
C529.TCGA-EJ-5511-01A-01D-1576-08.8 C529.TCGA-EJ-5511-10A-01D-1577-08.8
C529.TCGA-EJ-5512-01A-01D-1576-08.4 C529.TCGA-EJ-5512-10A-01D-1577-08.4
C529.TCGA-EJ-5514-01A-01D-1576-08.4 C529.TCGA-EJ-5514-10A-01D-1577-08.4
C529.TCGA-EJ-5515-01A-01D-1576-08.9 C529.TCGA-EJ-5515-10A-01D-1577-08.7
C529.TCGA-EJ-5516-01A-01D-1576-08.4 C529.TCGA-EJ-5516-10A-01D-1577-08.4
C529.TCGA-EJ-5517-01A-01D-1576-08.4 C529.TCGA-EJ-5517-10A-01D-1577-08.4
C529.TCGA-EJ-5518-01A-01D-1576-08.8 C529.TCGA-EJ-5518-10A-01D-1577-08.8
C529.TCGA-EJ-5519-01A-01D-1576-08.8 C529.TCGA-EJ-5519-10A-01D-1577-08.8
C529.TCGA-EJ-5521-01A-01D-1576-08.8 C529.TCGA-EJ-5521-10A-01D-1577-08.8
C529.TCGA-EJ-5522-01A-01D-1576-08.4 C529.TCGA-EJ-5522-10A-01D-1577-08.4
C529.TCGA-EJ-5524-01A-01D-1576-08.4 C529.TCGA-EJ-5524-10A-01D-1577-08.4
C529.TCGA-EJ-5525-01A-01D-1576-08.4 C529.TCGA-EJ-5525-10A-01D-1577-08.4
C529.TCGA-EJ-5526-01A-01D-1576-08.4 C529.TCGA-EJ-5526-10A-01D-1577-08.4
C529.TCGA-EJ-5527-01A-01D-1576-08.4 C529.TCGA-EJ-5527-10A-01D-1577-08.4
C529.TCGA-EJ-5530-01A-01D-1576-08.9 C529.TCGA-EJ-5530-10A-01D-1577-08.8
C529.TCGA-EJ-5531-01A-01D-1576-08.4 C529.TCGA-EJ-5531-10A-01D-1577-08.12
C529.TCGA-EJ-5532-01A-01D-1576-08.8 C529.TCGA-EJ-5532-10A-01D-1577-08.8
C529.TCGA-EJ-5542-01A-01D-1576-08.4 C529.TCGA-EJ-5542-10A-01D-1577-08.4
C529.TCGA-EJ-7115-01A-11D-2114-08.2 C529.TCGA-EJ-7115-10A-01D-2114-08.2
C529.TCGA-EJ-7123-01A-11D-1961-08.2 C529.TCGA-EJ-7123-10A-01D-1961-08.2
C529.TCGA-EJ-7125-01A-11D-1961-08.2 C529.TCGA-EJ-7125-10A-01D-1961-08.2
C529.TCGA-EJ-7218-01B-11D-A32B-08.2 C529.TCGA-EJ-7218-10A-01D-A329-08.2
C529.TCGA-EJ-7312-01B-21D-A32B-08.4 C529.TCGA-EJ-7312-10A-01D-A329-08.4
C529.TCGA-EJ-7314-01A-31D-2114-08.2 C529.TCGA-EJ-7314-10A-01D-2114-08.2
C529.TCGA-EJ-7315-01A-31D-2114-08.1 C529.TCGA-EJ-7315-10A-01D-2114-08.1
