C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-HC-A6AO-01A-11D-A30E-08.1 C529.TCGA-HC-A6AO-10A-01D-A30H-08.1
C529.TCGA-HC-A6AP-01A-11D-A30E-08.1 C529.TCGA-HC-A6AP-10A-01D-A30H-08.1
C529.TCGA-HC-A6AQ-01A-11D-A30E-08.1 C529.TCGA-HC-A6AQ-10A-01D-A30H-08.1
C529.TCGA-HC-A6AS-01A-11D-A30E-08.1 C529.TCGA-HC-A6AS-10A-01D-A30H-08.1
C529.TCGA-HC-A6HX-01A-11D-A31L-08.1 C529.TCGA-HC-A6HX-10A-01D-A31J-08.1
C529.TCGA-HC-A6HY-01A-11D-A31L-08.1 C529.TCGA-HC-A6HY-10A-01D-A31J-08.1
C529.TCGA-HC-A76W-01A-11D-A33T-08.1 C529.TCGA-HC-A76W-10A-01D-A33W-08.1
C529.TCGA-HC-A76X-01A-11D-A33T-08.1 C529.TCGA-HC-A76X-10A-01D-A33W-08.1
C529.TCGA-HC-A8CY-01A-11D-A364-08.1 C529.TCGA-HC-A8CY-10A-01D-A362-08.1
C529.TCGA-HC-A8D0-01A-11D-A364-08.1 C529.TCGA-HC-A8D0-10A-01D-A362-08.1
C529.TCGA-HC-A8D1-01A-11D-A364-08.1 C529.TCGA-HC-A8D1-10A-01D-A362-08.1
C529.TCGA-HC-A9TE-01A-11D-A41K-08.2 C529.TCGA-HC-A9TE-10A-01D-A41N-08.2
C529.TCGA-HC-A9TH-01A-11D-A41K-08.1 C529.TCGA-HC-A9TH-10A-01D-A41N-08.3
C529.TCGA-HI-7168-01A-11D-2114-08.4 C529.TCGA-HI-7168-10A-01D-2115-08.5
C529.TCGA-HI-7169-01A-11D-2114-08.1 C529.TCGA-HI-7169-10A-01D-2115-08.1
C529.TCGA-HI-7170-01A-11D-2114-08.1 C529.TCGA-HI-7170-10A-01D-2115-08.1
C529.TCGA-HI-7171-01A-12D-2114-08.1 C529.TCGA-HI-7171-10A-01D-2115-08.1
C529.TCGA-J4-8198-01A-11D-2260-08.1 C529.TCGA-J4-8198-10A-01D-2260-08.1
C529.TCGA-J4-8200-01A-11D-A29Q-08.2 C529.TCGA-J4-8200-10A-01D-A29Q-08.2
C529.TCGA-J4-A67K-01A-21D-A30E-08.1 C529.TCGA-J4-A67K-10A-01D-A30H-08.1
C529.TCGA-J4-A67L-01A-11D-A30E-08.1 C529.TCGA-J4-A67L-10A-01D-A30H-08.1
C529.TCGA-J4-A67M-01A-11D-A30E-08.2 C529.TCGA-J4-A67M-10A-01D-A30H-08.2
C529.TCGA-J4-A67N-01A-11D-A30E-08.2 C529.TCGA-J4-A67N-10A-01D-A30H-08.2
C529.TCGA-J4-A67O-01A-11D-A30E-08.2 C529.TCGA-J4-A67O-10A-01D-A30H-08.2
C529.TCGA-J4-A67Q-01A-21D-A30E-08.2 C529.TCGA-J4-A67Q-10A-01D-A30H-08.2
C529.TCGA-J4-A67R-01A-21D-A30E-08.2 C529.TCGA-J4-A67R-10A-01D-A30H-08.2
C529.TCGA-J4-A67S-01A-11D-A30E-08.2 C529.TCGA-J4-A67S-10A-01D-A30H-08.2
C529.TCGA-J4-A67T-01A-11D-A30X-08.1 C529.TCGA-J4-A67T-10A-01D-A30X-08.1
C529.TCGA-J4-A6G1-01A-11D-A30X-08.1 C529.TCGA-J4-A6G1-10A-01D-A30X-08.1
C529.TCGA-J4-A6G3-01A-11D-A30X-08.1 C529.TCGA-J4-A6G3-10A-01D-A30X-08.1
C529.TCGA-J4-A6M7-01A-11D-A31L-08.1 C529.TCGA-J4-A6M7-10A-01D-A31J-08.1
C529.TCGA-J4-A83I-01A-11D-A364-08.1 C529.TCGA-J4-A83I-10B-01D-A362-08.1
C529.TCGA-J4-A83J-01A-11D-A364-08.1 C529.TCGA-J4-A83J-10B-01D-A362-08.1
C529.TCGA-J4-A83K-01A-11D-A34U-08.1 C529.TCGA-J4-A83K-10A-01D-A34X-08.1
C529.TCGA-J4-A83L-01A-11D-A34U-08.1 C529.TCGA-J4-A83L-10A-01D-A34X-08.1
C529.TCGA-J4-A83M-01A-11D-A34U-08.1 C529.TCGA-J4-A83M-10A-01D-A34X-08.1
C529.TCGA-J4-A83N-01A-11D-A34U-08.1 C529.TCGA-J4-A83N-10A-01D-A34X-08.1
C529.TCGA-J4-AATV-01A-11D-A41K-08.2 C529.TCGA-J4-AATV-10A-01D-A41N-08.2
C529.TCGA-J4-AATZ-01A-11D-A41K-08.1 C529.TCGA-J4-AATZ-10A-01D-A41N-08.3
C529.TCGA-J4-AAU2-01A-11D-A41K-08.1 C529.TCGA-J4-AAU2-10A-01D-A41N-08.3
C529.TCGA-J9-A52B-01A-11D-A26M-08.5 C529.TCGA-J9-A52B-10A-01D-A26K-08.5
C529.TCGA-J9-A52C-01A-11D-A26M-08.4 C529.TCGA-J9-A52C-10A-01D-A26K-08.4
C529.TCGA-J9-A52D-01A-11D-A29Q-08.2 C529.TCGA-J9-A52D-10A-01D-A29Q-08.2
C529.TCGA-J9-A52E-01A-11D-A26M-08.4 C529.TCGA-J9-A52E-10A-01D-A26K-08.4
C529.TCGA-J9-A8CK-01A-11D-A34U-08.1 C529.TCGA-J9-A8CK-10A-01D-A34X-08.1
C529.TCGA-J9-A8CL-01A-11D-A34U-08.1 C529.TCGA-J9-A8CL-10A-01D-A34X-08.1
C529.TCGA-J9-A8CM-01A-11D-A34U-08.1 C529.TCGA-J9-A8CM-10A-01D-A34X-08.1
C529.TCGA-J9-A8CN-01A-11D-A34U-08.1 C529.TCGA-J9-A8CN-10A-01D-A34X-08.1
C529.TCGA-J9-A8CP-01A-11D-A34U-08.1 C529.TCGA-J9-A8CP-10A-01D-A34X-08.1
C529.TCGA-KC-A4BL-01A-31D-A257-08.2 C529.TCGA-KC-A4BL-10A-01D-A25A-08.2
C529.TCGA-KC-A4BN-01A-61D-A257-08.1 C529.TCGA-KC-A4BN-10A-01D-A25A-08.1
C529.TCGA-KC-A4BO-01A-61D-A257-08.1 C529.TCGA-KC-A4BO-10A-01D-A25A-08.1
C529.TCGA-KC-A4BR-01A-32D-A257-08.2 C529.TCGA-KC-A4BR-10A-01D-A25A-08.2
C529.TCGA-KC-A4BV-01A-31D-A26M-08.3 C529.TCGA-KC-A4BV-10A-01D-A26K-08.3
C529.TCGA-KC-A7F3-01A-21D-A33T-08.1 C529.TCGA-KC-A7F3-10A-01D-A33W-08.1
C529.TCGA-KC-A7F5-01A-11D-A33T-08.1 C529.TCGA-KC-A7F5-10A-01D-A33W-08.1
C529.TCGA-KC-A7F6-01A-11D-A33T-08.1 C529.TCGA-KC-A7F6-10A-01D-A33W-08.1
C529.TCGA-KC-A7FA-01A-21D-A33T-08.1 C529.TCGA-KC-A7FA-10A-01D-A33W-08.1
C529.TCGA-KC-A7FD-01A-11D-A33T-08.1 C529.TCGA-KC-A7FD-10A-01D-A33W-08.1
C529.TCGA-KC-A7FE-01A-12D-A33T-08.1 C529.TCGA-KC-A7FE-10A-01D-A33W-08.1
C529.TCGA-KK-A59V-01A-11D-A29Q-08.2 C529.TCGA-KK-A59V-11A-11D-A29Q-08.2
C529.TCGA-KK-A59X-01A-11D-A29Q-08.2 C529.TCGA-KK-A59X-11A-21D-A29Q-08.2
C529.TCGA-KK-A59Y-01A-11D-A26M-08.3 C529.TCGA-KK-A59Y-11A-11D-A26K-08.3
C529.TCGA-KK-A59Z-01A-12D-A26M-08.5 C529.TCGA-KK-A59Z-11A-11D-A26K-08.5
C529.TCGA-KK-A5A1-01A-11D-A29Q-08.2 C529.TCGA-KK-A5A1-11A-12D-A29Q-08.2
C529.TCGA-KK-A6DY-01A-12D-A30X-08.1 C529.TCGA-KK-A6DY-11A-11D-A30X-08.1
C529.TCGA-KK-A6E0-01A-11D-A30X-08.1 C529.TCGA-KK-A6E0-11A-11D-A30X-08.1
C529.TCGA-KK-A6E1-01A-11D-A30X-08.1 C529.TCGA-KK-A6E1-11A-21D-A30X-08.1
C529.TCGA-KK-A6E2-01A-11D-A30X-08.1 C529.TCGA-KK-A6E2-11A-21D-A30X-08.1
C529.TCGA-KK-A6E3-01A-21D-A30E-08.2 C529.TCGA-KK-A6E3-11A-11D-A30H-08.2
C529.TCGA-KK-A6E4-01A-11D-A30E-08.2 C529.TCGA-KK-A6E4-11A-11D-A30H-08.2
C529.TCGA-KK-A6E5-01A-11D-A30X-08.1 C529.TCGA-KK-A6E5-11A-12D-A30X-08.1
C529.TCGA-KK-A6E6-01A-11D-A30X-08.1 C529.TCGA-KK-A6E6-11A-11D-A30X-08.1
C529.TCGA-KK-A6E7-01A-11D-A31L-08.1 C529.TCGA-KK-A6E7-11A-11D-A31J-08.1
C529.TCGA-KK-A6E8-01A-11D-A31L-08.1 C529.TCGA-KK-A6E8-11A-11D-A31J-08.1
C529.TCGA-KK-A7AP-01A-12D-A33T-08.1 C529.TCGA-KK-A7AP-11A-21D-A33W-08.1
C529.TCGA-KK-A7AQ-01A-11D-A33T-08.1 C529.TCGA-KK-A7AQ-11A-11D-A33W-08.1
C529.TCGA-KK-A7AU-01A-11D-A32B-08.3 C529.TCGA-KK-A7AU-11A-11D-A329-08.3
C529.TCGA-KK-A7AV-01A-11D-A32B-08.4 C529.TCGA-KK-A7AV-11A-11D-A329-08.4
C529.TCGA-KK-A7AW-01A-11D-A32B-08.4 C529.TCGA-KK-A7AW-11A-11D-A329-08.4
C529.TCGA-KK-A7AY-01A-11D-A33T-08.1 C529.TCGA-KK-A7AY-11A-21D-A33W-08.1
C529.TCGA-KK-A7AZ-01A-12D-A32B-08.2 C529.TCGA-KK-A7AZ-11A-11D-A329-08.2
C529.TCGA-KK-A7B0-01A-11D-A32B-08.2 C529.TCGA-KK-A7B0-11A-11D-A329-08.2
C529.TCGA-KK-A7B1-01A-11D-A32B-08.2 C529.TCGA-KK-A7B1-11A-12D-A329-08.2
C529.TCGA-KK-A7B2-01A-12D-A32B-08.2 C529.TCGA-KK-A7B2-11A-11D-A329-08.2
C529.TCGA-KK-A7B3-01A-11D-A33T-08.1 C529.TCGA-KK-A7B3-11A-21D-A33W-08.1
C529.TCGA-KK-A7B4-01A-11D-A32B-08.4 C529.TCGA-KK-A7B4-11A-11D-A329-08.4
C529.TCGA-KK-A8I4-01A-11D-A364-08.1 C529.TCGA-KK-A8I4-11A-11D-A362-08.1
C529.TCGA-KK-A8I5-01A-11D-A364-08.1 C529.TCGA-KK-A8I5-11A-11D-A362-08.1
C529.TCGA-KK-A8I6-01A-11D-A364-08.1 C529.TCGA-KK-A8I6-11A-12D-A362-08.1
C529.TCGA-KK-A8I7-01A-21D-A364-08.1 C529.TCGA-KK-A8I7-11A-12D-A362-08.1
C529.TCGA-KK-A8I8-01A-11D-A364-08.1 C529.TCGA-KK-A8I8-11A-11D-A362-08.1
C529.TCGA-KK-A8I9-01A-11D-A364-08.1 C529.TCGA-KK-A8I9-11A-11D-A362-08.1
C529.TCGA-KK-A8IA-01A-11D-A364-08.2 C529.TCGA-KK-A8IA-11A-11D-A362-08.2
C529.TCGA-KK-A8IB-01A-11D-A364-08.1 C529.TCGA-KK-A8IB-11A-11D-A362-08.1
C529.TCGA-KK-A8IC-01A-11D-A364-08.2 C529.TCGA-KK-A8IC-11A-12D-A362-08.2
C529.TCGA-KK-A8ID-01A-11D-A364-08.2 C529.TCGA-KK-A8ID-11A-12D-A362-08.2
C529.TCGA-KK-A8IF-01A-11D-A364-08.1 C529.TCGA-KK-A8IF-11A-11D-A362-08.1
C529.TCGA-KK-A8IG-01A-11D-A364-08.1 C529.TCGA-KK-A8IG-11A-11D-A362-08.1
C529.TCGA-KK-A8IH-01A-11D-A364-08.1 C529.TCGA-KK-A8IH-11A-11D-A362-08.1
C529.TCGA-KK-A8II-01A-11D-A364-08.1 C529.TCGA-KK-A8II-11A-11D-A362-08.1
C529.TCGA-KK-A8IJ-01A-11D-A34U-08.1 C529.TCGA-KK-A8IJ-11A-11D-A34X-08.1
C529.TCGA-KK-A8IK-01A-11D-A364-08.2 C529.TCGA-KK-A8IK-11A-11D-A362-08.2
C529.TCGA-KK-A8IL-01A-11D-A364-08.1 C529.TCGA-KK-A8IL-11A-11D-A362-08.1
C529.TCGA-KK-A8IM-01A-11D-A364-08.1 C529.TCGA-KK-A8IM-11A-11D-A362-08.1
C529.TCGA-M7-A71Y-01A-22D-A32B-08.2 C529.TCGA-M7-A71Y-10A-01D-A329-08.2
C529.TCGA-M7-A71Z-01A-12D-A32B-08.2 C529.TCGA-M7-A71Z-10A-01D-A329-08.2
C529.TCGA-M7-A720-01A-12D-A32B-08.3 C529.TCGA-M7-A720-10A-01D-A329-08.3
C529.TCGA-M7-A721-01A-12D-A32B-08.4 C529.TCGA-M7-A721-10A-01D-A329-08.4
C529.TCGA-M7-A722-01A-12D-A364-08.2 C529.TCGA-M7-A722-10B-01D-A362-08.2
C529.TCGA-M7-A723-01A-12D-A32B-08.4 C529.TCGA-M7-A723-10A-01D-A329-08.4
C529.TCGA-M7-A724-01A-12D-A32B-08.2 C529.TCGA-M7-A724-10A-01D-A329-08.2
C529.TCGA-M7-A725-01A-12D-A32B-08.4 C529.TCGA-M7-A725-10A-01D-A329-08.4
C529.TCGA-MG-AAMC-01A-11D-A41K-08.1 C529.TCGA-MG-AAMC-10A-01D-A41N-08.3
C529.TCGA-QU-A6IL-01A-11D-A31L-08.3 C529.TCGA-QU-A6IL-10A-01D-A31J-08.3
C529.TCGA-QU-A6IM-01A-11D-A31L-08.1 C529.TCGA-QU-A6IM-10A-01D-A31J-08.1
C529.TCGA-QU-A6IN-01A-11D-A31L-08.1 C529.TCGA-QU-A6IN-10A-01D-A31J-08.1
C529.TCGA-QU-A6IO-01A-11D-A31L-08.1 C529.TCGA-QU-A6IO-10A-01D-A31J-08.1
C529.TCGA-QU-A6IP-01A-11D-A31L-08.1 C529.TCGA-QU-A6IP-10A-01D-A31J-08.1
C529.TCGA-SU-A7E7-01A-22D-A33T-08.1 C529.TCGA-SU-A7E7-10A-01D-A33W-08.1
C529.TCGA-TK-A8OK-01A-22D-A364-08.1 C529.TCGA-TK-A8OK-10A-01D-A362-08.1
C529.TCGA-TP-A8TT-01A-12D-A41K-08.1 C529.TCGA-TP-A8TT-10A-01D-A41N-08.3
C529.TCGA-TP-A8TV-01A-11D-A41K-08.2 C529.TCGA-TP-A8TV-10A-01D-A41N-08.2
C529.TCGA-V1-A8MF-01A-11D-A364-08.1 C529.TCGA-V1-A8MF-10A-01D-A362-08.1
C529.TCGA-V1-A8MG-01A-11D-A364-08.1 C529.TCGA-V1-A8MG-10A-01D-A362-08.1
C529.TCGA-V1-A8MJ-01A-11D-A364-08.1 C529.TCGA-V1-A8MJ-10A-01D-A362-08.1
C529.TCGA-V1-A8MK-01A-11D-A364-08.1 C529.TCGA-V1-A8MK-10A-01D-A362-08.1
C529.TCGA-V1-A8ML-01A-11D-A377-08.1 C529.TCGA-V1-A8ML-10A-01D-A37A-08.1
C529.TCGA-V1-A8MM-01A-11D-A377-08.1 C529.TCGA-V1-A8MM-10A-01D-A37A-08.1
C529.TCGA-V1-A8MU-01A-11D-A377-08.1 C529.TCGA-V1-A8MU-10A-01D-A37A-08.1
C529.TCGA-V1-A8WL-01A-11D-A377-08.1 C529.TCGA-V1-A8WL-10A-01D-A37A-08.1
C529.TCGA-V1-A8WN-01A-11D-A377-08.1 C529.TCGA-V1-A8WN-10A-01D-A37A-08.1
C529.TCGA-V1-A8WS-01A-11D-A377-08.3 C529.TCGA-V1-A8WS-10A-01D-A37A-08.3
C529.TCGA-V1-A8WV-01A-11D-A377-08.1 C529.TCGA-V1-A8WV-10A-01D-A37A-08.1
C529.TCGA-V1-A8WW-01A-11D-A377-08.1 C529.TCGA-V1-A8WW-10A-01D-A37A-08.1
C529.TCGA-V1-A8X3-01A-11D-A377-08.1 C529.TCGA-V1-A8X3-10A-01D-A37A-08.1
C529.TCGA-V1-A9O5-01A-11D-A41K-08.3 C529.TCGA-V1-A9O5-10A-01D-A41N-08.3
C529.TCGA-V1-A9O7-01A-21D-A41K-08.1 C529.TCGA-V1-A9O7-10A-01D-A41N-08.3
C529.TCGA-V1-A9O9-01A-11D-A41K-08.2 C529.TCGA-V1-A9O9-10A-01D-A41N-08.2
C529.TCGA-V1-A9OA-01A-11D-A41K-08.1 C529.TCGA-V1-A9OA-10A-01D-A41N-08.3
C529.TCGA-V1-A9OF-01A-11D-A41K-08.1 C529.TCGA-V1-A9OF-10A-01D-A41N-08.3
C529.TCGA-V1-A9OH-01A-11D-A41K-08.1 C529.TCGA-V1-A9OH-10A-01D-A41N-08.3
C529.TCGA-V1-A9OL-01A-11D-A41K-08.1 C529.TCGA-V1-A9OL-10A-01D-A41N-08.3
C529.TCGA-V1-A9OQ-01A-11D-A41K-08.2 C529.TCGA-V1-A9OQ-10A-01D-A41N-08.2
C529.TCGA-V1-A9OT-01A-11D-A41K-08.1 C529.TCGA-V1-A9OT-10A-01D-A41N-08.3
C529.TCGA-V1-A9OX-01A-11D-A41K-08.1 C529.TCGA-V1-A9OX-10A-01D-A41N-08.3
C529.TCGA-V1-A9OY-01A-11D-A41K-08.1 C529.TCGA-V1-A9OY-10A-01D-A41N-08.3
C529.TCGA-V1-A9Z7-01A-11D-A41K-08.1 C529.TCGA-V1-A9Z7-10A-01D-A41N-08.3
C529.TCGA-V1-A9Z8-01A-11D-A41K-08.1 C529.TCGA-V1-A9Z8-10A-01D-A41N-08.3
C529.TCGA-V1-A9Z9-01A-21D-A41K-08.2 C529.TCGA-V1-A9Z9-10A-01D-A41N-08.2
C529.TCGA-V1-A9ZG-01A-11D-A41K-08.2 C529.TCGA-V1-A9ZG-10A-01D-A41N-08.2
C529.TCGA-V1-A9ZI-01A-11D-A41K-08.1 C529.TCGA-V1-A9ZI-10A-01D-A41N-08.3
C529.TCGA-V1-A9ZK-01A-11D-A41K-08.1 C529.TCGA-V1-A9ZK-10A-01D-A41N-08.3
C529.TCGA-V1-A9ZR-01A-11D-A41K-08.1 C529.TCGA-V1-A9ZR-10A-01D-A41N-08.3
C529.TCGA-VN-A88I-01A-11D-A34U-08.1 C529.TCGA-VN-A88I-10A-01D-A34X-08.1
C529.TCGA-VN-A88K-01A-11D-A34U-08.1 C529.TCGA-VN-A88K-10A-01D-A34X-08.1
C529.TCGA-VN-A88L-01A-11D-A34U-08.1 C529.TCGA-VN-A88L-10A-01D-A34X-08.1
C529.TCGA-VN-A88M-01A-11D-A34U-08.1 C529.TCGA-VN-A88M-10A-01D-A34X-08.1
C529.TCGA-VN-A88N-01A-11D-A364-08.1 C529.TCGA-VN-A88N-10B-01D-A362-08.1
C529.TCGA-VN-A88O-01A-11D-A34U-08.1 C529.TCGA-VN-A88O-10A-01D-A34X-08.1
C529.TCGA-VN-A88P-01A-11D-A34U-08.1 C529.TCGA-VN-A88P-10A-01D-A34X-08.1
C529.TCGA-VN-A88Q-01A-11D-A34U-08.1 C529.TCGA-VN-A88Q-10A-01D-A34X-08.1
C529.TCGA-VN-A88R-01A-11D-A364-08.1 C529.TCGA-VN-A88R-10B-01D-A362-08.1
C529.TCGA-VN-A943-01A-11D-A41K-08.1 C529.TCGA-VN-A943-10A-01D-A41N-08.3
C529.TCGA-VP-A872-01A-11D-A34U-08.2 C529.TCGA-VP-A872-10A-01D-A34X-08.2
C529.TCGA-VP-A875-01A-31D-A34U-08.2 C529.TCGA-VP-A875-10A-01D-A34X-08.2
C529.TCGA-VP-A876-01A-11D-A34U-08.2 C529.TCGA-VP-A876-10A-01D-A34X-08.2
C529.TCGA-VP-A878-01A-31D-A34U-08.1 C529.TCGA-VP-A878-10A-01D-A34X-08.1
C529.TCGA-VP-A879-01A-11D-A34U-08.1 C529.TCGA-VP-A879-10A-01D-A34X-08.1
C529.TCGA-VP-A87B-01A-11D-A34U-08.1 C529.TCGA-VP-A87B-10A-01D-A34X-08.1
C529.TCGA-VP-A87C-01A-11D-A34U-08.1 C529.TCGA-VP-A87C-10A-01D-A34X-08.1
C529.TCGA-VP-A87D-01A-11D-A34U-08.1 C529.TCGA-VP-A87D-10A-01D-A34X-08.1
C529.TCGA-VP-A87E-01A-31D-A34U-08.1 C529.TCGA-VP-A87E-10A-01D-A34X-08.1
C529.TCGA-VP-A87H-01A-11D-A34U-08.1 C529.TCGA-VP-A87H-10A-01D-A34X-08.1
C529.TCGA-VP-A87J-01A-11D-A34U-08.1 C529.TCGA-VP-A87J-10A-01D-A34X-08.1
C529.TCGA-VP-A87K-01A-11D-A34U-08.1 C529.TCGA-VP-A87K-10A-01D-A34X-08.1
C529.TCGA-VP-AA1N-01A-31D-A41K-08.1 C529.TCGA-VP-AA1N-10A-01D-A41N-08.3
C529.TCGA-WW-A8ZI-01A-11D-A377-08.1 C529.TCGA-WW-A8ZI-10A-01D-A37A-08.1
C529.TCGA-X4-A8KQ-01A-12D-A364-08.1 C529.TCGA-X4-A8KQ-10A-01D-A362-08.1
C529.TCGA-X4-A8KS-01A-12D-A364-08.1 C529.TCGA-X4-A8KS-10A-01D-A362-08.1
C529.TCGA-XA-A8JR-01A-11D-A364-08.2 C529.TCGA-XA-A8JR-10A-01D-A362-08.2
C529.TCGA-XJ-A83F-01A-11D-A34U-08.1 C529.TCGA-XJ-A83F-10A-01D-A34X-08.1
C529.TCGA-XJ-A83G-01A-11D-A34U-08.1 C529.TCGA-XJ-A83G-10A-01D-A34X-08.1
C529.TCGA-XJ-A83H-01A-11D-A34U-08.1 C529.TCGA-XJ-A83H-10A-01D-A34X-08.1
C529.TCGA-XJ-A9DI-01A-11D-A377-08.1 C529.TCGA-XJ-A9DI-10A-01D-A37A-08.1
C529.TCGA-XJ-A9DK-01A-11D-A377-08.1 C529.TCGA-XJ-A9DK-10A-01D-A37A-08.1
C529.TCGA-XJ-A9DQ-01A-11D-A377-08.1 C529.TCGA-XJ-A9DQ-10A-01D-A37A-08.1
C529.TCGA-XJ-A9DX-01A-11D-A377-08.1 C529.TCGA-XJ-A9DX-10A-01D-A37A-08.1
C529.TCGA-XK-AAIR-01A-11D-A41K-08.2 C529.TCGA-XK-AAIR-10A-01D-A41N-08.2
C529.TCGA-XK-AAIV-01A-11D-A41K-08.2 C529.TCGA-XK-AAIV-10A-01D-A41N-08.2
C529.TCGA-XK-AAIW-01A-11D-A41K-08.1 C529.TCGA-XK-AAIW-10A-01D-A41N-08.3
C529.TCGA-XK-AAJ3-01A-11D-A41K-08.2 C529.TCGA-XK-AAJ3-10A-01D-A41N-08.2
C529.TCGA-XK-AAJA-01A-11D-A41K-08.1 C529.TCGA-XK-AAJA-10A-01D-A41N-08.3
C529.TCGA-XK-AAJP-01A-11D-A41K-08.1 C529.TCGA-XK-AAJP-10A-01D-A41N-08.3
C529.TCGA-XK-AAJR-01A-11D-A41K-08.1 C529.TCGA-XK-AAJR-10A-01D-A41N-08.3
C529.TCGA-XK-AAJT-01A-11D-A41K-08.2 C529.TCGA-XK-AAJT-10A-01D-A41N-08.2
C529.TCGA-XK-AAJU-01A-11D-A41K-08.2 C529.TCGA-XK-AAJU-10A-01D-A41N-08.2
C529.TCGA-XK-AAK1-01A-11D-A41K-08.1 C529.TCGA-XK-AAK1-10A-01D-A41N-08.3
C529.TCGA-XQ-A8TA-01A-11D-A364-08.1 C529.TCGA-XQ-A8TA-10A-01D-A362-08.1
C529.TCGA-XQ-A8TB-01A-11D-A364-08.1 C529.TCGA-XQ-A8TB-10A-01D-A362-08.1
C529.TCGA-Y6-A8TL-01A-21D-A377-08.1 C529.TCGA-Y6-A8TL-10A-01D-A37A-08.1
C529.TCGA-Y6-A9XI-01A-11D-A41K-08.2 C529.TCGA-Y6-A9XI-10A-01D-A41N-08.2
C529.TCGA-YJ-A8SW-01A-11D-A377-08.1 C529.TCGA-YJ-A8SW-10A-01D-A37A-08.1
C529.TCGA-YL-A8HJ-01A-11D-A364-08.1 C529.TCGA-YL-A8HJ-10A-01D-A362-08.1
C529.TCGA-YL-A8HK-01A-11D-A364-08.1 C529.TCGA-YL-A8HK-10A-01D-A362-08.1
C529.TCGA-YL-A8HL-01A-11D-A364-08.1 C529.TCGA-YL-A8HL-10A-01D-A362-08.1
C529.TCGA-YL-A8HM-01A-11D-A364-08.2 C529.TCGA-YL-A8HM-10A-01D-A362-08.2
C529.TCGA-YL-A8HO-01A-11D-A364-08.2 C529.TCGA-YL-A8HO-10A-01D-A362-08.2
C529.TCGA-YL-A8S8-01A-11D-A377-08.1 C529.TCGA-YL-A8S8-10A-01D-A37A-08.1
C529.TCGA-YL-A8S9-01A-11D-A377-08.1 C529.TCGA-YL-A8S9-10A-01D-A37A-08.1
C529.TCGA-YL-A8SA-01A-21D-A377-08.1 C529.TCGA-YL-A8SA-10A-01D-A37A-08.1
C529.TCGA-YL-A8SB-01A-31D-A377-08.1 C529.TCGA-YL-A8SB-10A-01D-A37A-08.1
C529.TCGA-YL-A8SC-01A-11D-A377-08.1 C529.TCGA-YL-A8SC-10A-01D-A37A-08.1
C529.TCGA-YL-A8SF-01A-11D-A377-08.3 C529.TCGA-YL-A8SF-10A-01D-A37A-08.3
C529.TCGA-YL-A8SH-01B-11D-A377-08.1 C529.TCGA-YL-A8SH-10A-01D-A37A-08.1
C529.TCGA-YL-A8SI-01A-11D-A41K-08.1 C529.TCGA-YL-A8SI-10A-01D-A41N-08.3
C529.TCGA-YL-A8SJ-01B-11D-A377-08.1 C529.TCGA-YL-A8SJ-10A-01D-A37A-08.1
C529.TCGA-YL-A8SK-01B-21D-A377-08.1 C529.TCGA-YL-A8SK-10A-01D-A37A-08.1
C529.TCGA-YL-A8SL-01B-21D-A377-08.1 C529.TCGA-YL-A8SL-10A-01D-A37A-08.1
C529.TCGA-YL-A8SO-01B-31D-A377-08.1 C529.TCGA-YL-A8SO-10A-01D-A37A-08.1
C529.TCGA-YL-A8SP-01B-11D-A377-08.1 C529.TCGA-YL-A8SP-10A-01D-A37A-08.1
C529.TCGA-YL-A8SQ-01B-11D-A377-08.1 C529.TCGA-YL-A8SQ-10A-01D-A37A-08.1
C529.TCGA-YL-A8SR-01B-11D-A377-08.1 C529.TCGA-YL-A8SR-10A-01D-A37A-08.1
C529.TCGA-YL-A9WH-01A-11D-A377-08.1 C529.TCGA-YL-A9WH-10A-01D-A37A-08.1
C529.TCGA-YL-A9WI-01A-11D-A377-08.1 C529.TCGA-YL-A9WI-10A-01D-A37A-08.1
C529.TCGA-YL-A9WJ-01A-11D-A377-08.1 C529.TCGA-YL-A9WJ-10A-01D-A37A-08.1
C529.TCGA-YL-A9WK-01A-11D-A377-08.1 C529.TCGA-YL-A9WK-10A-01D-A37A-08.1
C529.TCGA-YL-A9WL-01A-11D-A41K-08.1 C529.TCGA-YL-A9WL-10A-01D-A41N-08.3
C529.TCGA-YL-A9WX-01A-21D-A41K-08.1 C529.TCGA-YL-A9WX-10A-01D-A41N-08.3
C529.TCGA-YL-A9WY-01A-11D-A41K-08.2 C529.TCGA-YL-A9WY-10A-01D-A41N-08.2
C529.TCGA-ZG-A8QW-01A-11D-A377-08.1 C529.TCGA-ZG-A8QW-10A-01D-A37A-08.1
C529.TCGA-ZG-A8QX-01A-11D-A377-08.1 C529.TCGA-ZG-A8QX-10A-01D-A37A-08.1
C529.TCGA-ZG-A8QY-01A-11D-A377-08.1 C529.TCGA-ZG-A8QY-10A-01D-A37A-08.1
C529.TCGA-ZG-A8QZ-01A-11D-A377-08.1 C529.TCGA-ZG-A8QZ-10A-01D-A37A-08.1
C529.TCGA-ZG-A9KY-01A-11D-A41K-08.2 C529.TCGA-ZG-A9KY-10A-01D-A41N-08.2
